examen|clause|opa|opb
ENE23| Según la teoría cuantitativa del dinero la tasa de inflación dependerá en el largo plazo, fundamentalmente,|(a)*de la tasa de crecimiento de la oferta monetaria.|(b) del crecimiento de la demanda agregada.
ENE23| Si la velocidad de circulación del dinero es constante, el PIB real crece un 2% al año y la cantidad de dinero (M) también crece un 2% al año, entonces el tipo de interés nominal será|(a)*igual al tipo de interés real puesto que la inflación será cero.|(b) mayor que el tipo de interés real, puesto que hay que sumar a éste la inflación.
ENE23| Suponga que la base monetaria es de 500.000 millones, las reservas bancarias son un 10% de los depósitos y el efectivo es un 70% de los depósitos. Entonces el multiplicador monetario es|(a)*mayor que 2.|(b) menor de 2.
ENE23| La oferta monetaria aumentará si|(a) el banco central vende títulos de deuda pública.|(b)*disminuye el coeficiente de efectivo en manos del público.
ENE23| En una economía cerrada un aumento del superávit público producirá|(a)*una reducción del tipo de interés real.|(b) un aumento del ahorro privado. 
ENE23| Un aumento del déficit público |(a)*desplaza la curva de oferta de fondos prestables a la izquierda y por tanto provoca una disminución de la inversión privada  en equilibrio.|(b) provoca una disminución del tipo de interés y por tanto favorece la inversión privada en equilibrio.|
ENE23| Si se cumple la teoría de la paridad del poder adquisitivo.|(a) el tipo de cambio real será siempre igual al tipo de cambio nominal.|(b)*una moneda se apreciará si la inflación en el extranjero es mayor que la inflación doméstica.
ENE23| Si un país tiene déficit en su balanza por cuenta corriente y la cuenta de capital está equilibrada, entonces dicho país, frente al resto del mundo, tiene|(a) capacidad de financiación.|(b)*necesidad de financiación
ENE23| Si una camisa en Estados Unidos cuesta 150 $ y la misma camisa en la Unión Europea se vende a 100 €, suponiendo un tipo de cambio nominal de 1,50 $ por €, el tipo de cambio real será:|(a)*1 camisa U.E. por cada camisa en EE.UU. |(b) 0,83 camisas en U.E. por cada camisa en EE.UU.
ENE23| Si el ahorro de un país es superior a la inversión, habrá|(a) déficit en la cuenta financiera (SNC<0).|(b)*superávit en la cuenta financiera (SNC>0). 
ENE23| En una economía abierta, el ahorro privado es 400 millones de euros, la inversión privada es 600 millones de euros, y el déficit público es 300 millones. Entonces, esta economía|(a) estará financiando al resto del mundo.|(b)*estará recibiendo financiación procedente del resto del mundo.
ENE23| Suponga que en un país aumenta la inversión privada. El modelo de economía abierta de largo plazo predice para ese país una reducción de su tipo de cambio real.|(a) Verdadero.|(b)*Falso.
ENE23| Una disminución del déficit público provocará en el nuevo equilibrio |(a)*una mayor salida neta de capitales.|(b) una menor salida neta de capitales. 
ENE23| Un arancel a las importaciones tiende a|(a)*apreciar la moneda nacional.|(b) depreciar la moneda nacional.
ENE23| Considere el modelo de una economía abierta a largo plazo. El equilibrio en el mercado de divisas implica que un aumento en la Salida Neta de Capitales generará un aumento en las exportaciones netas.|(a)*Verdadero.|(b) Falso.
ENE23| El conflicto en Ucrania y la intervención de Rusia, ha generado en los mercados una elevada incertidumbre que está conduciendo a una masiva salida de capitales de Rusia. Razonando en términos de nuestro modelo de una economía abierta, es previsible que el rublo (la moneda de Rusia)|(a)*tienda a depreciarse.|(b) tienda a apreciarse
ENE23| ¿Cuál es la tasa de actividad de una región en la que hay 10 millones de personas que tienen 16 años o más, entre las cuales hay 4 millones ocupadas y 2 millones desempleadas?|(a) 40%.|(b)*60%.
ENE23| Si se crea empleo al mismo tiempo que crece la población activa|(a) Indudablemente la tasa de paro bajará.|(b)*Puede ocurrir que la tasa de paro aumente.
ENE23| Una mayor disposición de la población desempleada para trasladarse a otra ciudad en el proceso de búsqueda de empleo, provocará una reducción del desempleo friccional.|(a)*Verdadero.|(b) Falso.
ENE23| Al desempleo asociado a la caída de la actividad económica que se produce en las épocas de recesión se le llama|(a) desempleo natural.|(b)*desempleo cíclico.
ENE23| En el modelo keynesiano, el multiplicador del gasto público es tanto mayor cuanto menor sea la propensión marginal a consumir.|(a) Verdadero. |(b)*Falso.
ENE23| Según el modelo keynesiano simple, en el equilibrio a corto plazo de una economía|(a)*el PIB efectivo es igual a la demanda agregada.|(b) el PIB efectivo es siempre igual al PIB potencial.
ENE23| Según la aproximación keynesiana, el bajo nivel de producción y el elevado desempleo en épocas de recesión son causados por|(a) la escasa productividad de los factores.|(b)*el bajo nivel de la demanda agregada.
ENE23| Uno de los problemas de la política fiscal expansiva es que tiende a aumentar|(a)*el endeudamiento público y puede además perjudicar a la inversión privada.|(b) la desigualdad y eso puede perjudicar la demanda de consumo privado.
JUL19|Según la teoría cuantitativa del dinero, se produce inflación cuando la tasa de crecimiento de la oferta monetaria|(a)*  es mayor que la tasa de crecimiento del PIB real.|(b)  es menor que la tasa de crecimiento del PIB real.
JUL19|Cuando se produce un incremento inesperado de la inflación, la riqueza se transfiere de forma no planeada|(a) de los prestamistas (ahorradores) a los prestatarios (deudores).|(b)* de los prestatarios (deudores) a los prestamistas (ahorradores).
JUL19|Si se cumple la teoría de la paridad del poder adquisitivo:|(a) el tipo de cambio real será siempre igual al tipo de cambio nominal.|(b)* una moneda se apreciará si la inﬂación en el extranjero es mayor que la inﬂación doméstica. 
JUL19|En el equilibrio de largo plazo, la política del Presidente Trump de establecer límites a las importaciones de productos europeos:|(a) provocará una apreciación real del euro.|(b)* no afectará al valor de las exportaciones netas de los EEUU. 
JUL19|¿Cuántas personas de un país tienen al menos 16 años si la tasa de actividad es del 60% y hay 8 millones de personas ocupadas y 4 millones desempleadas?|(a) menos de 15 millones.|(b)* más de 15 millones. 
JUL19|La oferta monetaria aumentará si|(a) el banco central vende títulos de deuda pública.|(b)* disminuye el coeficiente de efectivo en manos del público. 
JUL19|Según el efecto de Fisher, si la inflación esperada es negativa,|(a) el tipo de interés nominal será mayor que el tipo de interés real.|(b)* el tipo de interés nominal será menor que el tipo de interés real.
JUL19|Los coches producidos en 2018 que no se han llegado a vender se incluyen en el PIB de 2018:|(a)*  Verdadero.|(b) Falso.
JUL19|La relación del crecimiento demográfico y el crecimiento económico, si se mantienen todos los demás factores constantes, nos indica que:|(a)* si el crecimiento demográfico es mayor que el crecimiento del PIB se puede producir una disminución en la renta per cápita. |(b)  si el crecimiento demográfico es menor que el crecimiento del PIB se puede producir una disminución en la renta per cápita.
JUL19|Un país crece al 2,5% anual. Entonces al cabo de 5 años habrá crecido:|(a)* menos de 13,2%. |(b)  más de 13,2%.
JUL19|Un aumento de los subsidios de desempleo:|(a) aumentará la demanda de fondos prestables.|(b)* disminuirá la oferta de fondos prestables. 
JUL19|Si en el modelo keynesiano simple la propensión marginal a consumir es 0.8 y los impuestos disminuyen en 100 unidades|(a) la renta de equilibrio aumenta en 400 unidades.|(b)* la renta de equilibrio aumenta en 500 unidades.
JUL19|Considere una economía cerrada que presenta la siguiente información: C=0,85(Y-T)-70r, Y=5000, T=1000, I=1500-70r y el gobierno presenta un déficit público de 500.|(a)* el tipo de interés real de equilibrio será mayor del 9%. |(b) el tipo de interés real de equilibrio será menor del 9%.
JUL19|Una subida del tipo de interés real:|(a) hace más atractivo el consumo presente frente al consumo futuro.|(b)* hace más atractivo el consumo futuro frente al consumo presente. 
JUL19|La compra de la empresa española Fontaneda por parte de la multinacional Nabisco disminuye la salida neta de capitales de España:|(a)* Verdadero |(b) Falso  
JUL19|El principal inconveniente de usar la política fiscal para luchar contra una recesión es la posible generación de déficit público y la presión al alza sobre el tipo de interés lo que podría generar:|(a)* una caída de la inversión.|(b) un aumento de las exportaciones.
JUL19|A corto plazo, una política monetaria expansiva puede estimular la demanda agregada. En ese caso:|(a) se cumple la dicotomía clásica.|(b)* el dinero no es neutral.
JUL19|La política del gobierno chino de fomentar la salida neta de capitales hacia el extranjero, tenderá a provocar:|(a) una disminución de las exportaciones netas de China.|(b)* una disminución de la inversión privada de las empresas chinas en su país. 
JUL19|En un mercado de trabajo competitivo y con flexibilidad salarial, el gobierno decide retrasar la edad de jubilación. En tal caso|(a) se reducirá la demanda de trabajo y, por tanto, crecerán los salarios.|(b)* aumentará la oferta de trabajo provocando una caída de los salarios. 
JUL19|¿Cuál de las siguientes circunstancias puede generar desempleo friccional?|(a)* el cambio de localización de las industrias. |(b) el aumento de la productividad del trabajo.
JUL19|Cuando los inversores observaron los crecientes problemas políticos de México en 1994, vendieron sus activos mexicanos y usaron el efectivo para comprar activos en otros países. Este hecho provocó:|(a) una disminución de la demanda neta en el mercado mexicano de fondos prestables.|(b)* una depreciación real del peso mexicano. 
JUL19|Un país tiene un ahorro privado de 300, un superávit público de 50 y un nivel de inversión igual a 200. En estas condiciones la salida neta de capitales es igual a 100.|(a) Verdadero|(b)* Falso 
JUL19|El precio de un tractor producido en España se incluye:|(a) en el IPC y en el deflactor del PIB. |(b)* solamente en el deflactor del PIB.
JUL19|Se dispone de la siguiente información sobre un país: Exportaciones = 200, PIB = 2000, Consumo Público = 200, Importaciones = 270, Inversión = 500. ¿Cuánto fue el gasto en consumo de los hogares de dicho país?|(a) 1.230 |(b)* 1.370 
JUL19|Las prestaciones de desempleo que paga el Gobierno son:|(a)* un componente de la renta disponible de las familias.|(b) un componente del consumo público.
JUL19|Los ingresos por turismo de los extranjeros que vienen a España a pasar el verano se contabilizan en el PIB de España como: |(a) importaciones de servicios.|(b)* exportaciones de servicios. 
JUL19|El crecimiento demográfico interactúa con el resto de factores productivos de diversos modos:|(a)* promoviendo las economías de escala y el progreso tecnológico.|(b) aumentando el ahorro y capital.
JUL19|En el modelo de economía cerrada de largo plazo, si el ahorro nacional coincide con el ahorro privado:|(a)* el gobierno presenta un presupuesto equilibrado. |(b) el tipo de interés real de equilibrio es del 0%.
JUL19|¿Cuál es la tasa de paro de un país en el que hay 16 millones de personas en edad de trabajar (tienen al menos 16 años), entre las cuales hay 6 millones de personas inactivas y 2 millones de personas desempleadas?|(a)* Más de 15%. |(b) Menos de 15%.
JUL19|Según la teoría keynesiana, a corto plazo el PIB viene determinado por|(a)* la demanda agregada.|(b) el producto potencial.
MAY19|El efecto expulsión consiste en|(a) el estímulo a la inversión privada que se produce cuando se elevan los tipos de interés.|(b)* la caída de la inversión privada provocada por un incremento del déficit público. 
MAY19|Un país crece al 3% acumulativo durante 3 años seguidos, su crecimiento al final de estos años será|(a) más del 10%.|(b)* menos del 10%. 
MAY19|En el equilibrio de corto plazo, el producto efectivo y el producto potencial deben ser iguales.|(a) Verdadero.|(b)* Falso. 
MAY19|En Berlín (Alemania) un bocadillo de salchicha cuesta 2 €, y el mismo bocadillo en Boston (Estados Unidos) cuesta 1,2 $. Suponiendo que el tipo de cambio nominal es de 1,50 $ por €, el tipo de cambio real será|(a)* 2.5 bocadillos en Boston por cada bocadillo en Berlín. |(b) 0.9 bocadillos en Boston por cada bocadillo en Berlín.
MAY19|A partir de la teoría cuantitativa del dinero y del efecto de Fisher se concluye que, a largo plazo, un mayor crecimiento de la oferta monetaria provocará|(a) una bajada del tipo de interés nominal.|(b)* un aumento del tipo de interés nominal. 
MAY19|La apreciación de la moneda de un país|(a) beneficia a su sector exportador y puede, por tanto, ayudarle a salir de una crisis económica.|(b)* reducirá su competitividad exterior y sus exportaciones netas. 
MAY19|La teoría de los salarios de eficiencia argumenta que una bajada en los salarios puede mejorar la productividad de los trabajadores y aumentar el empleo.|(a) Verdadero.|(b)* Falso. 
MAY19|Entre los determinantes del crecimiento económico existe una relación positiva entre|(a) las trabas al libre comercio y un mayor crecimiento económico mundial.|(b)* el crecimiento económico y el nivel educativo del país. 
MAY19|En el modelo de una economía cerrada de largo plazo, un incremento de las transferencias que paga el estado a las familias producirá|(a) una reducción del ahorro privado.|(b)* un aumento del tipo de interés real. 
MAY19|En el modelo keynesiano simple los precios y los salarios son|(a)* rígidos. |(b)  flexibles.
MAY19|Considere una economía cerrada que presenta la siguiente información: C = 0,75(Y–T) – 60r, Y = 7.000, T = 1.000, I = 2.000 – 60r y el gobierno presenta un presupuesto equilibrado.|(a)* El tipo de interés real de equilibrio será superior al 4%. |(b)  El tipo de interés real de equilibrio será inferior al 4%.
MAY19|Considerando un mercado de trabajo competitivo y con flexibilidad salarial, una mejora de la productividad de los trabajadores provocará un desplazamiento de|(a)* la demanda de trabajo y, por tanto, una subida de los salarios. |(b)  la oferta de trabajo y, por tanto, una reducción del desempleo.
MAY19|El PIB nominal (millones €) en España fue de 1.049,9 en 2010 y de 1.063,4 en 2011. El deflactor del PIB en 2010 fue 113,64 y en 2011 fue 111,70. Podemos afirmar que el PIB real|(a)* ha aumentado. |(b)  ha disminuido.
MAY19|Si los precios y salarios son poco flexibles, la convergencia al equilibrio de largo plazo será|(a) más rápida.|(b)* más lenta. 
MAY19|El PIB como medida del bienestar económico es una medida imperfecta, entre otras cosas, porque|(a)* no tiene en cuenta el valor de un medio ambiente limpio. |(b) se limita exclusivamente a lo que se produce dentro del país.
MAY19|¿Cuál de las siguientes circunstancias puede generar desempleo estructural?|(a) La flexibilización del mercado laboral.|(b)* Un mayor poder de negociación de los sindicatos. 
MAY19|Suponga que durante los próximos años la inflación en México será superior a la de Estados Unidos. Entonces, de acuerdo con la paridad del poder adquisitivo,|(a)* el tipo de cambio real del dólar frente al peso mejicano aumentará.|(b)  el tipo de cambio nominal del dólar frente al peso mejicano aumentará. 
MAY19|En el modelo de economía cerrada de largo plazo|(a) el tipo de interés se ajusta para igualar el ahorro privado a la inversión privada.|(b)* una reducción del gasto público desplaza la oferta de fondos prestables hacia la derecha. 
MAY19|La oferta monetaria asciende a 1.000 u.m. El banco central estima que el PIB real crecerá un 5%, y desea que la inflación sea el 2%. Si la velocidad de circulación del dinero es constante, el banco central debe aumentar la oferta monetaria|(a)* en más de 50 u.m. |(b)  en 50 u.m. o menos.
MAY19|Suponiendo que el resto de variables se mantienen constantes, ¿cuál puede ser la consecuencia de una apreciación del dólar frente al euro?|(a) Esther, una ciudadana española, considera que la mantequilla de cacahuete es menos cara en término relativos, y decide hacer un pedido a Estados Unidos para su supermercado.|(b)* Nick, un ciudadano estadounidense, considera que viajar a Granada es ahora más asequible en términos relativos. 
MAY19|La creciente incertidumbre en la zona euro por la posibilidad de un Brexit sin acuerdo,|(a) tenderá a bajar el tipo de interés real en la zona euro.|(b)* tenderá a disminuir el tipo de cambio real del euro frente al dólar. 
MAY19|En el crecimiento de la mayor parte de los países desarrollados|(a) influyen más los recursos naturales que el capital humano.|(b)* influye más el capital humano que los recursos naturales. 
MAY19|El dinero es el activo|(a)* más líquido. |(b)  más adecuado como depósito de valor.
MAY19|En el equilibrio de largo plazo de una economía abierta, si un país reduce sus aranceles provocará|(a) que aumente la salida neta de capitales de este país. |(b)* una depreciación de su moneda. 
MAY19|Un aumento del efectivo que el público mantiene en relación con sus depósitos|(a) favorece el proceso de creación de dinero bancario.|(b)* dificulta el proceso de creación de dinero bancario. 
MAY19|Si en la balanza de pagos el saldo de la cuenta financiera es negativo, la posición acreedora del país frente al exterior|(a) habrá aumentado.|(b)* habrá disminuido. 
MAY19|Las rentas del trabajo de un ciudadano español que tiene su domicilio en Badajoz, pero va a trabajar todos los días a un pueblo de Portugal, computan|(a) en el PIB de España.|(b)* en el PNB de España. 
MAY19|¿Cuántas personas están desempleadas en un país cuya tasa de paro es del 10%, si hay 25 millones de personas en edad de trabajar (tienen al menos 16 años) y 5 millones de personas inactivas?|(a)* 2 millones. |(b)  2,5 millones.
MAY19|Si en el modelo keynesiano simple la propensión marginal a consumir es 0,8 y el gasto público disminuye en 100 unidades, la renta de equilibrio|(a) aumenta en 500 unidades.|(b)* disminuye en 500 unidades. 
MAY19|Una subida del tipo de interés real en los EE.UU tenderá a|(a)* depreciar el euro respecto al dólar. |(b) apreciar el euro respecto al dólar.
MAY21|¿Cuál de las siguientes afirmaciones es correcta?|(a)* el gasto interno de un país es la suma de su gasto en consumo final y su formación bruta de capital.|(b) el PIB de un país se puede obtener mediante la diferencia de su gasto interno y sus exportaciones netas.
MAY21|Cuando en un periodo de tiempo los impuestos indirectos que recaen sobre los productos de un país son inferiores a las subvenciones que recaen sobre estos mismos productos, entonces el valor de esos productos a precios de mercado es|(a) mayor que a precios básicos.|(b)* menor que a precios básicos. 
MAY21|Un país tiene un PIB per cápita de 20.000 € en 2021. Si su PIB per cápita crece un 10% anual, en 2024, será|(a)* mayor que 26.100€.|(b)  menor que 26.100€.
MAY21|En los países ricos suele haber menos desigualdad que en los países pobres:|(a)* verdadero.|(b)  falso.
MAY21|La desigualdad a nivel mundial ha aumentado en las últimas décadas:|(a) verdadero.|(b)* falso.
MAY21|El capital físico |(a) es el determinante más importante del crecimiento económico a largo plazo.|(b)* puede ser tanto público como privado. 
MAY21|En el equilibrio de largo plazo de una economía cerrada la renta es Y=1.100, el consumo privado C= 500, los impuestos netos de transferencias T=100 y el gasto público G=200, entonces|(a)* el ahorro nacional es 400. |(b)   El ahorro privado es 600.
MAY21|Si un Gobierno reduce la recaudación de impuestos netos de transferencias (T), provocará que|(a) disminuyan el ahorro nacional y el ahorro privado.|(b)* disminuya el ahorro público pero aumente el ahorro privado. 
MAY21|Cuál es la afirmación incorrecta:|(a)* el ahorro privado es la renta disponible que les queda a las familias después de pagar sus impuestos. |(b)   el ahorro nacional es la renta nacional que queda después de descontar el gasto público y el consumo de los hogares.
MAY21|Un país gana competitividad frente al exterior cuando su moneda se|(a) aprecia en términos reales.|(b)* deprecia en términos reales.
MAY21|En el modelo de una economía cerrada a largo plazo|(a) el tipo de interés se ajustará para igualar el ahorro privado a la inversión privada.|(b)* un aumento del gasto público desplaza la oferta de fondos prestables hacia la izquierda.
MAY21|Un residente español cobra los intereses devengados por un depósito abierto en una cuenta en Suiza. Esta es una operación de la balanza por cuenta|(a)* corriente.|(b)   financiera.
MAY21|Si la salida neta de capitales es positiva es porque el ahorro|(a) nacional ha sido insuficiente para financiar la inversión privada.|(b)* privado ha sido más que suficiente para financiar la inversión privada y el déficit público del Estado. 
MAY21|Si un coche utilitario en España vale 10.000€ y en Reino Unido 6.000£, será más ventajoso comprarlo en España si el tipo de cambio es de|(a)* menos de 0,6 libras por cada euro.|(b)   0,6 libras o más por cada euro.
MAY21|Si se cumple la PPA se igualará el coste de las|(a) monedas entre países.|(b)* cestas de bienes entre países.
MAY21|En el modelo de largo plazo de una economía abierta, un aumento del subsidio de desempleo que paga el gobierno a los parados da lugar a|(a) un aumento del ahorro privado y del ahorro nacional.|(b)* una disminución del ahorro nacional. 
MAY21|En el modelo de largo plazo de una economía abierta, si los ciudadanos se vuelven más ahorrativos|(a)* el tipo de cambio real disminuirá. |(b)   el tipo de cambio real aumentará.
MAY21|En el modelo de largo plazo de una economía abierta, si el país se vuelve más atractivo para que entren capitales del resto del mundo|(a) el tipo de interés real aumentará.|(b)* el tipo de interés real disminuirá. 
MAY21|En el modelo de largo plazo de una economía abierta, si las expectativas empresariales mejoran|(a)* la moneda nacional se aprecia. |(b)  la moneda nacional se deprecia.
MAY21|En el modelo de largo plazo de una economía abierta, si los controles administrativos tras el Brexit hacen más difícil al Reino Unido exportar, pero sus importaciones no tienen este tipo de trabas,  |(a)* la libra esterlina se depreciará.|(b)   la libra esterlina se apreciará. 
MAY21|Cuando se dice que el dinero es el activo que los compradores utilizan comúnmente para pagar los bienes y servicios que adquieren, ¿a qué función del dinero se está haciendo referencia?|(a) unidad de cuenta.|(b)* medio de cambio. 
MAY21|Un multiplicador monetario igual a 10 significa que|(a)* por cada euro nuevo que crea el banco central, en la economía terminan circulando 10 euros. |(b)  por cada 10 euros nuevos que crea el banco central, en la economía termina circulando un euro.
MAY21|Un aumento de los préstamos que el banco central concede a los bancos privados, afectará a la oferta monetaria porque cambia|(a) el multiplicador monetario.|(b)* la base monetaria. 
MAY21|A largo plazo la política monetaria es neutral. Esto significa que |(a)* solo afecta a las magnitudes que se miden en dinero.|(b)   afecta por igual a las magnitudes nominales y a las reales.
MAY21|La velocidad de circulación del dinero es constante y la oferta monetaria actual es 5.000 unidades monetarias. El banco central (BC) estima que el crecimiento real de la economía será un 6,2% y su objetivo de inflación es el 1,8%. Para conseguir dicho objetivo, ¿cuánto deberá el BC aumentar la oferta monetaria al año siguiente?|(a) más de 500 u.m.|(b)* menos de 500 u.m. 
MAY21|Según la teoría de los salarios de eficiencia, un exceso de oferta en el mercado del trabajo|(a) implica que los salarios bajarán.|(b)* no implica que los salarios bajarán. 
MAY21|La teoría insiders-outsiders afirma que, cuando se negocia una subida de salarios|(a)* los insiders tienen menor riesgo de perder sus puestos de trabajo que los outsiders. |(b)   los insiders tienen mayor riesgo de perder sus puestos de trabajo que los outsiders.
MAY21|Un aumento del subsidio de desempleo|(a)* aumenta el paro friccional. |(b)   disminuye el paro friccional.
MAY21|Una mayor incorporación de la mujer al mercado del trabajo implica|(a)* un aumento de la tasa de actividad. |(b) un aumento de la categoría “inactivos” si este hecho coincide con un incremento de las mujeres desempleadas.
MAY21|A largo plazo la política monetaria es neutral. Esto significa que |(a)* solo afecta a las magnitudes que se miden en dinero.|(b)  afecta por igual a las magnitudes nominales y a las reales.

